class,tp,fp,fn,precision,recall,f1
Caries,189,99,1005,0.6562,0.1583,0.2551
Crown,1031,565,126,0.646,0.8911,0.749
Filling,2463,2394,3197,0.5071,0.4352,0.4684
Implant,160,49,18,0.7656,0.8989,0.8269
Malaligned,0,0,3,0.0,0.0,0.0
Mandibular Canal,26,77,14,0.2524,0.65,0.3636
Missing teeth,182,86,156,0.6791,0.5385,0.6007
Periapical lesion,55,53,508,0.5093,0.0977,0.1639
Retained root,0,0,35,0.0,0.0,0.0
Root Canal Treatment,1288,1334,943,0.4912,0.5773,0.5308
Root Piece,166,175,111,0.4868,0.5993,0.5372
croen,0,0,1,0.0,0.0,0.0
impacted tooth,3052,606,204,0.8343,0.9373,0.8828
maxillary sinus,5,17,19,0.2273,0.2083,0.2174
